url, schemaname, tablename
"https://opendata.arcgis.com/datasets/bdd58d5d8c3d4622bec8e55239debc3b_0.geojson", "geospatial$places", "us_pl_hospitals"
"https://opendata.arcgis.com/datasets/335ccc7c0684453fad69d8a64bc89192_0.geojson", "geospatial$places", "us_pl_urgent_care_facilities"
"https://opendata.arcgis.com/datasets/336f1e779a12475a95aa9d5124e90f16_0.geojson", "geospatial$places", "us_pl_pharmacies"
"https://opendata.arcgis.com/datasets/78c58035fb3942ba82af991bb4476f13_0.geojson", "geospatial$places", "us_pl_nursing_homes"
"https://opendata.arcgis.com/datasets/f11d7d153bfb408f85bd029b2dac9298_0.geojson", "geospatial$places", "us_pl_va_medical_facilities"
"https://opendata.arcgis.com/datasets/1c44c6e0a6af40fba7f4a0099ef14d7c_0.geojson", "geospatial$places", "us_pl_mobile_home_parks"
"https://opendata.arcgis.com/datasets/87376bdb0cb3490cbda39935626f6604_0.geojson", "geospatial$places", "us_pl_public_schools"
"https://opendata.arcgis.com/datasets/0dfe37d2a68545a699b999804354dacf_0.geojson", "geospatial$places", "us_pl_private_schools"
"https://opendata.arcgis.com/datasets/d0555d939f2a4ad9824af6ebf0793bdd_0.geojson", "geospatial$places", "us_pl_day_care_centers"
"https://opendata.arcgis.com/datasets/f4363d9222ae4a4b848eca00a1581f0c_0.geojson", "geospatial$places", "us_pl_colleges_universities"
"https://opendata.arcgis.com/datasets/82a6926827924f869b1bea659e2da671_0.geojson", "geospatial$places", "us_pl_cellular_towers"
"https://opendata.arcgis.com/datasets/0d79b978d71b4654bddb6ca0f4b7f830_0.geojson", "geospatial$places", "us_pl_local_law_enforcement"
"https://opendata.arcgis.com/datasets/b7f8c53ff5844de2a62a4b4975f3abcb_0.geojson", "geospatial$places", "us_pl_places_of_worship"
